組付数,459,,,,,,,,
組付番号,親部品,子部品,組立部品,ASP,,,０度方向,組付方向,接触線番号
,,,,ASP-X,ASP-Y,ASP-Z,,,
141,30,6,21,0,90,1040,奥下,上,11
142,102,6,73,0,90,1040,奥下,上,11
143,65,6,40,0,90,1040,奥下,上,11
144,181,6,160,0,90,1040,奥下,上,11
145,173,6,143,0,90,1040,奥下,上,11
146,172,6,139,0,90,1040,奥下,上,11
147,161,6,137,0,90,1040,奥下,上,11
148,163,6,136,0,90,1040,奥下,上,11
149,177,6,151,0,90,1040,奥下,上,11
150,14,6,232,0,90,1040,奥下,上,11
151,10,6,235,0,90,1040,奥下,上,10
152,25,6,18,0,90,1040,奥下,上,11
153,228,6,222,0,90,1040,奥下,上,11
154,230,6,225,0,90,1040,奥下,上,11
155,218,6,204,0,90,1040,奥下,上,11
156,51,6,34,0,90,1040,奥下,上,11
157,80,6,68,0,90,1040,奥下,上,11
158,72,6,59,0,90,1040,奥下,上,11
159,54,6,42,0,90,1040,奥下,上,11
160,99,6,67,0,90,1040,奥下,上,11
161,58,6,36,0,90,1040,奥下,上,11
162,146,7,121,0,90,1040,奥下,上,12
163,150,7,127,0,90,1040,奥下,上,12
164,147,7,118,0,90,1040,奥下,上,12
165,145,7,116,0,90,1040,奥下,上,12
166,134,7,108,0,90,1040,奥下,上,12
167,46,7,33,0,90,1040,奥下,上,12
168,142,7,112,0,90,1040,奥下,上,12
169,135,7,110,0,90,1040,奥下,上,12
170,207,7,196,0,90,1040,奥下,上,12
171,76,7,50,0,90,1040,奥下,上,12
172,231,7,226,0,90,1040,奥下,上,12
173,162,7,141,0,90,1040,奥下,上,12
174,71,7,45,0,90,1040,奥下,上,12
175,70,7,48,0,90,1040,奥下,上,12
176,79,7,49,0,90,1040,奥下,上,12
177,217,7,203,0,90,1040,奥下,上,12
178,221,7,210,0,90,1040,奥下,上,12
179,224,7,211,0,90,1040,奥下,上,12
180,164,7,144,0,90,1040,奥下,上,12
181,175,7,154,0,90,1040,奥下,上,12
182,178,7,159,0,90,1040,奥下,上,12
183,104,7,75,0,90,1040,奥下,上,12
184,193,7,170,0,90,1040,奥下,上,12
185,113,7,88,0,90,1040,奥下,上,12
186,185,7,168,0,90,1040,奥下,上,12
187,119,7,81,0,90,1040,奥下,上,12
188,105,7,74,0,90,1040,奥下,上,12
189,109,7,85,0,90,1040,奥下,上,12
190,100,7,69,0,90,1040,奥下,上,12
191,208,7,186,0,90,1040,奥下,上,12
192,209,7,189,0,90,1040,奥下,上,12
193,103,7,78,0,90,1040,奥下,上,12
194,232,8,224,0,90,1040,奥下,上,13
195,230,8,221,0,90,1040,奥下,上,13
196,73,8,46,0,90,1040,奥下,上,13
197,228,8,217,0,90,1040,奥下,上,13
198,101,8,71,0,90,1040,奥下,上,13
199,102,8,70,0,90,1040,奥下,上,13
200,106,8,79,0,90,1040,奥下,上,13
201,107,8,76,0,90,1040,奥下,上,13
202,225,8,207,0,90,1040,奥下,上,13
203,222,8,209,0,90,1040,奥下,上,13
204,218,8,208,0,90,1040,奥下,上,13
205,139,8,119,0,90,1040,奥下,上,13
