製品名,Eモダン,,,,,,,,,,,,,,,
組付け数,459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
組付け番号,部品1,部品2,組立部品,部品非対称,位置決め複数,視認性・X+,視認性・Z+,視認性・親子逆・X+,視認性・親子逆・Z+,接触有効空間（可）,接触有効空間（不可）,接触点,特殊組付け,方向注意,組付け力,組付け不可
385,215,151,34,1,1,0,1,0,1,0,0,1,1,0,1,1
386,215,155,30,1,1,0,1,0,1,0,0,1,1,0,1,1
387,215,111,20,1,1,0,1,0,1,0,0,1,1,0,1,1
388,215,132,27,1,1,0,1,0,1,0,0,1,1,0,1,1
389,215,126,21,1,1,0,1,0,1,0,0,1,1,0,1,1
390,215,198,72,1,1,0,1,0,1,0,0,1,1,0,1,1
391,215,157,35,1,1,0,1,0,1,0,0,1,1,0,1,1
392,218,215,133,1,1,0,1,0,1,0,0,1,1,0,1,1
393,218,199,102,1,1,0,1,0,1,0,0,1,1,0,1,1
394,222,199,106,1,1,0,1,0,1,0,0,1,1,0,1,1
395,222,215,137,1,1,0,1,0,1,0,0,1,1,0,1,1
396,225,199,107,1,1,0,1,0,1,0,0,1,1,0,1,1
397,225,215,136,1,1,0,1,0,1,0,0,1,1,0,1,1
398,227,225,165,1,1,0,1,0,1,0,0,1,0,0,0,1
399,227,222,174,1,1,0,1,0,1,0,0,1,0,0,0,1
400,227,96,24,1,1,0,1,0,1,0,0,1,0,0,0,1
401,227,218,173,1,1,0,1,0,1,0,0,1,0,0,0,1
402,227,132,44,1,1,0,1,0,1,0,0,1,0,0,0,1
403,227,111,43,1,1,0,1,0,1,0,0,1,0,0,0,1
404,227,204,143,1,1,0,1,0,1,0,0,1,0,0,0,1
405,227,126,40,1,1,0,1,0,1,0,0,1,0,0,0,1
406,227,198,131,1,1,0,1,0,1,0,0,1,0,0,0,1
407,227,179,98,1,1,0,1,0,1,0,0,1,0,0,0,1
408,227,181,99,1,1,0,1,0,1,0,0,1,0,0,0,1
409,227,151,68,1,1,0,1,0,1,0,0,1,0,0,0,1
410,227,160,67,1,1,0,1,0,1,0,0,1,0,0,0,1
411,227,155,65,1,1,0,1,0,1,0,0,1,0,0,0,1
412,227,177,80,1,1,0,1,0,1,0,0,1,0,0,0,1
413,227,157,64,1,1,0,1,0,1,0,0,1,0,0,0,1
414,228,215,161,1,1,0,1,0,1,0,0,1,1,0,1,1
415,228,227,184,1,1,0,1,0,1,0,0,1,1,0,1,1
416,228,199,140,1,1,0,1,0,1,0,0,1,1,0,1,1
417,230,215,163,1,1,0,1,0,1,0,0,1,1,0,1,1
418,230,199,138,1,1,0,1,0,1,0,0,1,1,0,1,1
419,230,227,192,1,1,0,1,0,1,0,0,1,0,0,0,1
420,232,199,139,1,1,0,1,0,1,0,0,1,1,0,1,1
421,232,215,166,1,1,0,1,0,1,0,0,1,1,0,1,1
422,232,227,194,1,1,0,1,0,1,0,0,1,0,0,0,1
423,234,68,23,1,0,0,0,0,0,0,0,0,1,0,1,0
424,234,131,54,1,0,0,0,0,0,0,0,0,1,0,1,0
425,234,67,28,1,0,0,0,0,0,0,0,0,1,0,1,0
426,234,143,73,1,0,0,0,0,0,0,0,0,1,0,1,0
427,234,192,138,1,0,0,0,0,0,0,0,0,1,0,1,0
428,234,227,199,1,0,0,0,0,0,0,0,0,1,1,1,0
429,234,194,139,1,0,0,0,0,0,0,0,0,1,0,1,0
430,234,24,15,1,0,0,0,0,0,0,0,0,1,0,1,0
431,234,44,19,1,0,0,0,0,0,0,0,0,1,0,1,0
432,234,40,18,1,0,0,0,0,0,0,0,0,1,0,1,0
433,234,184,140,1,0,0,0,0,0,0,0,0,1,0,1,0
434,234,43,17,1,0,0,0,0,0,0,0,0,1,0,1,0
435,234,98,42,1,0,0,0,0,0,0,0,0,1,0,1,0
436,234,165,107,1,0,0,0,0,0,0,0,0,1,0,1,0
437,234,174,106,1,0,0,0,0,0,0,0,0,1,0,1,0
438,234,64,26,1,0,0,0,0,0,0,0,0,1,0,1,0
439,234,80,32,1,0,0,0,0,0,0,0,0,1,0,1,0
440,234,99,41,1,0,0,0,0,0,0,0,0,1,0,1,0
441,234,206,172,1,0,0,0,0,0,0,0,0,1,0,1,0
442,234,65,25,1,0,0,0,0,0,0,0,0,1,0,1,0
443,234,173,102,1,0,0,0,0,0,0,0,0,1,0,1,0
444,235,54,26,0,0,0,0,0,0,0,0,0,0,0,0,0
445,235,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0
446,235,80,43,0,0,0,0,0,0,0,0,0,0,0,0,0
447,235,51,20,0,0,0,0,0,0,0,0,0,0,0,0,0
448,235,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0
449,235,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0
450,235,58,27,0,0,0,0,0,0,0,0,0,0,0,0,0
451,235,198,157,0,0,0,0,0,0,0,0,0,0,0,0,0
452,235,155,96,0,0,0,0,0,0,0,0,0,0,0,0,0
453,235,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0
454,235,177,111,0,0,0,0,0,0,0,0,0,0,0,0,0
455,235,181,132,0,0,0,0,0,0,0,0,0,0,0,0,0
456,235,131,64,0,0,0,0,0,0,0,0,0,0,0,0,0
457,235,99,44,0,0,0,0,0,0,0,0,0,0,0,0,0
458,235,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0
459,235,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0
