両手2部品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,,存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ
大物組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,
要援助品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,
1,16,350,13,43,1
1,16,351,13,165,1
1,16,352,13,174,1
1,16,353,13,173,1
1,16,354,13,184,1
1,16,355,13,98,1
1,16,356,13,24,1
1,16,357,13,194,1
1,16,358,13,131,1
1,16,359,13,227,1
1,16,360,13,80,1
1,16,361,13,99,1
1,16,362,13,192,1
1,4,363,14,199,1
1,4,364,14,227,1
1,17,365,14,215,1
1,4,366,199,198,1
1,4,367,199,177,1
1,4,368,199,179,1
1,4,369,199,181,1
1,4,370,199,126,1
1,4,371,199,111,1
1,4,372,199,157,1
1,4,373,199,132,1
1,4,374,199,160,1
1,4,375,199,96,1
1,4,376,199,155,1
1,4,377,199,151,1
1,4,378,199,204,0
1,17,379,215,204,0
1,4,380,215,181,1
1,4,381,215,179,1
1,17,382,215,96,1
1,17,383,215,177,1
1,4,384,215,160,1
1,17,385,215,151,1
1,17,386,215,155,1
1,4,387,215,111,1
1,4,388,215,132,1
1,17,389,215,126,1
1,4,390,215,198,1
1,4,391,215,157,1
1,4,392,218,215,1
1,4,393,218,199,1
1,4,394,199,222,0
1,17,395,215,222,0
1,4,396,199,225,0
1,17,397,215,225,0
1,4,398,227,225,1
1,4,399,227,222,1
1,4,400,227,96,1
1,4,401,227,218,1
1,4,402,227,132,1
1,4,403,227,111,1
1,4,404,227,204,1
1,4,405,227,126,1
1,4,406,227,198,1
1,4,407,227,179,1
1,4,408,227,181,1
1,4,409,227,151,1
1,4,410,227,160,1
1,4,411,227,155,1
1,4,412,227,177,1
1,4,413,227,157,1
1,17,414,228,215,1
1,4,415,228,227,1
1,4,416,228,199,1
1,17,417,230,215,1
1,4,418,230,199,1
1,4,419,230,227,1
1,4,420,199,232,0
1,17,421,215,232,0
1,4,422,227,232,0
1,16,423,234,68,1
1,16,424,234,131,1
1,16,425,234,67,1
1,16,426,234,143,1
1,16,427,234,192,1
1,16,428,234,227,1
1,16,429,234,194,1
1,16,430,234,24,1
1,16,431,234,44,1
1,16,432,234,40,1
1,16,433,234,184,1
1,16,434,234,43,1
1,16,435,234,98,1
1,16,436,234,165,1
1,16,437,234,174,1
1,16,438,234,64,1
1,16,439,234,80,1
1,16,440,234,99,1
1,16,441,234,206,1
1,16,442,234,65,1
1,16,443,234,173,1
1,11,444,54,235,0
1,11,445,72,235,0
1,11,446,80,235,0
1,11,447,51,235,0
1,11,448,65,235,0
1,11,449,25,235,0
1,11,450,58,235,0
1,11,451,198,235,0
1,11,452,155,235,0
1,11,453,41,235,0
1,11,454,177,235,0
1,11,455,181,235,0
1,11,456,131,235,0
1,11,457,99,235,0
1,11,458,32,235,0
1,11,459,30,235,0
手組み
存在フラグ,接触線番号,組付け番号,親部品,子部品,
