組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
24,1,2,188,174,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,11,12,0,14,0,2,0,0,5,6,0,0,0,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2,91,67,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,9,0,11,0,0,14,0,2,3,4,5,6,7,8,9,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,123,80,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,7,8,0,0,11,12,0,14,0,2,3,4,5,0,7,8,0,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2,124,99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,7,8,9,0,11,0,0,14,0,2,3,4,5,0,7,8,9,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2,130,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,0,0,11,0,0,14,0,2,3,4,5,6,7,8,0,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,201,184,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,12,0,14,0,2,0,0,5,0,0,0,0,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,153,131,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,7,8,0,0,11,0,0,14,0,2,3,4,5,0,7,8,0,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,2,213,194,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,11,0,0,14,0,2,0,0,5,6,0,0,0,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,212,192,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,11,0,0,14,0,2,0,0,5,0,0,0,9,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,66,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,0,10,11,12,0,14,0,2,3,4,5,6,7,8,0,10,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,187,173,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,11,12,0,14,0,2,0,0,5,0,0,0,9,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,233,227,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,2,0,0,5,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,56,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,9,0,11,12,0,14,0,2,3,4,5,6,7,8,9,0,11,12,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,61,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,9,10,11,0,0,14,0,2,3,4,5,6,7,8,9,10,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2,223,206,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,14,0,2,0,0,5,0,0,0,0,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,2,191,165,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,9,0,11,0,0,14,0,2,0,0,5,6,0,0,9,0,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,2,84,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,0,10,11,0,0,14,0,2,3,4,5,6,7,8,0,10,11,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
