1,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,
191,187,2,0,0,,,,,,,,,
14,1,2,,,,,,,,,,,
0,0,0,,,,,,,,,,,
1,15,1,,,,,,,,,,,
1,15,0,,,,,,,,,,,
,,,,,,,,,,,,,
0,200,-50,845,0,0,0,,,,,,,
0,-200,-50,845,0,0,0,,,,,,,
1,387,613,850,0,0,0,,,,,,,
2,344,629,850,0,0,0,,,,,,,
3,285,629,850,0,0,0,,,,,,,
4,234,623,850,0,0,0,,,,,,,
5,183,629,850,0,0,0,,,,,,,
6,135,619,850,0,0,0,,,,,,,
7,87,629,850,0,0,0,,,,,,,
8,23,635,850,0,0,0,,,,,,,
9,-29,622,850,0,0,0,,,,,,,
10,-67,622,850,0,0,0,,,,,,,
11,-116,627,850,0,0,0,,,,,,,
12,-164,619,850,0,0,0,,,,,,,
13,-240,630,850,0,0,0,,,,,,,
14,-380,637,850,0,0,0,,,,,,,
-10,25,175,1290,0,0,0,,,,,,,
-101,0,135,840,0,0,0,250,50,50,23,1,,
-102,0,135,1100,0,0,0,100,50,50,23,0,,
8001,1200,1200,1000,840,21,0,0,0,0,,,,
9001,1,2,3,26,26,3,2,374,600,840,0,0,180
9002,1,2,3,60,59,6,2,314,600,840,0,0,180
9003,1,2,3,58,58,0,2,256,600,840,0,0,180
9004,1,2,3,44,47,3,2,212,600,840,0,0,180
9005,1,2,3,58,58,6,2,154,600,840,0,0,180
9006,1,2,3,38,38,2,2,116,600,840,0,0,180
9007,1,2,3,58,58,4,2,58,600,840,0,0,180
9008,1,2,3,70,70,1,2,-12,600,840,0,0,180
9009,1,2,3,33,45,12,2,-45,600,840,0,0,180
9010,1,2,3,43,45,7,2,-88,600,840,0,0,180
9011,1,2,3,55,54,35,2,-143,600,840,0,0,180
9012,1,2,3,41,38,10,2,-184,600,840,0,0,180
9013,1,2,3,112,61,10,2,-296,600,840,0,0,180
9014,1,2,3,167,75,90,2,-463,600,840,0,0,180
9015,1,1,12,120,210,45,5,-620,0,840,0,0,180
